# time, MeanKE, MeanKEDR, MeanP, MeanFKEDR
8.00105522E+00 9.78491584571733047E-02 9.84801852558554215E-03 1.65401069279896673E-01 6.45424265245439065E-03
8.00746497E+00 9.77806399258742548E-02 9.86727443287553803E-03 1.65711014947593271E-01 6.45878075310998140E-03
8.01390532E+00 9.77116525227400140E-02 9.88666023183513987E-03 1.66019905967244530E-01 6.46321759059361855E-03
8.02038402E+00 9.76421120385850688E-02 9.90617951987218283E-03 1.66328128022218330E-01 6.46755846619763691E-03
8.02688561E+00 9.75721830538122253E-02 9.92576396034823040E-03 1.66635338423809842E-01 6.47179395302251593E-03
8.03339466E+00 9.75020317191576530E-02 9.94534384460509305E-03 1.66940212917265046E-01 6.47591641570422535E-03
8.03992032E+00 9.74315593147814796E-02 9.96492256308781181E-03 1.67242889050839838E-01 6.47993474590433365E-03
8.04646752E+00 9.73607119453636788E-02 9.98448981549832255E-03 1.67544185647138744E-01 6.48385511833188440E-03
8.05299233E+00 9.72899659997824434E-02 1.00038900135875283E-02 1.67842842813933801E-01 6.48765579365841345E-03
8.05950078E+00 9.72192583502643620E-02 1.00231177728426022E-02 1.68136874411735110E-01 6.49134597833232393E-03
8.06599902E+00 9.71485239375149967E-02 1.00421673490997069E-02 1.68428465439793590E-01 6.49493455178625466E-03
8.07249335E+00 9.70776958374666710E-02 1.00610331033264746E-02 1.68717023964170043E-01 6.49843000173825226E-03
8.07898388E+00 9.70067745926304209E-02 1.00796927275886451E-02 1.69003217240472625E-01 6.50183705226066704E-03
8.08543699E+00 9.69361300977608781E-02 1.00980326017911359E-02 1.69285948690442306E-01 6.50514310944746293E-03
8.09185893E+00 9.68656977157481419E-02 1.01160598876846013E-02 1.69563811495753058E-01 6.50835636179163124E-03
8.09825599E+00 9.67954115846547530E-02 1.01337855664348012E-02 1.69838639287111598E-01 6.51148397506411732E-03
8.10463450E+00 9.67252047682271021E-02 1.01512231904358121E-02 1.70110033262041604E-01 6.51453210194775749E-03
8.11100085E+00 9.66550094048775482E-02 1.01683874292987624E-02 1.70378659688580042E-01 6.51750591186700794E-03
8.11736143E+00 9.65847568255154554E-02 1.01852930103821914E-02 1.70644578119859031E-01 6.52040964506693348E-03
8.12372270E+00 9.65143776250432794E-02 1.02019542806733015E-02 1.70908183175911776E-01 6.52324668413373828E-03
8.13001168E+00 9.64446833103728557E-02 1.02181820653823602E-02 1.71168458290585662E-01 6.52598566076088241E-03
8.13622412E+00 9.63757274593177587E-02 1.02339728239677664E-02 1.71420975516907825E-01 6.52862675682805080E-03
8.14240992E+00 9.63069609578042218E-02 1.02494574292557195E-02 1.71669776961142578E-01 6.53119196892774229E-03
8.14861322E+00 9.62378950283977463E-02 1.02647431629894308E-02 1.71917087309412492E-01 6.53369850555138125E-03
8.15487324E+00 9.61680928620047420E-02 1.02799166134051947E-02 1.72164433805520323E-01 6.53615953305970894E-03
8.16119255E+00 9.60975217589983416E-02 1.02949700452337443E-02 1.72412811596290211E-01 6.53857274519795660E-03
8.16749489E+00 9.60270365465833581E-02 1.03097112027169847E-02 1.72659753577218550E-01 6.54090688230606065E-03
8.17378805E+00 9.59565545994831293E-02 1.03241536754523581E-02 1.72901654679185446E-01 6.54316405688922659E-03
8.18007997E+00 9.58859901531443071E-02 1.03383103937359118E-02 1.73142252467229613E-01 6.54534593309294335E-03
8.18637193E+00 9.58153313282357200E-02 1.03521789122720063E-02 1.73380396221743616E-01 6.54745152256590648E-03
8.19264001E+00 9.57448495542559674E-02 1.03657037632787045E-02 1.73616401755030153E-01 6.54947179096267498E-03
8.19885556E+00 9.56748711553347397E-02 1.03788254119125626E-02 1.73848210071452985E-01 6.55139742964911797E-03
8.20502671E+00 9.56053117452932699E-02 1.03915656842050487E-02 1.74075297276411661E-01 6.55323097938352930E-03
8.21116160E+00 9.55360810315534492E-02 1.04039465433437527E-02 1.74299451927602433E-01 6.55497448361892776E-03
8.21726835E+00 9.54670894942300369E-02 1.04159885048371089E-02 1.74520339662231322E-01 6.55662911498346764E-03
8.22335502E+00 9.53982482083158140E-02 1.04277115044259204E-02 1.74738596114488970E-01 6.55819528212683162E-03
8.22942955E+00 9.53294689920986676E-02 1.04391348134296267E-02 1.74954364893861514E-01 6.55967258880599691E-03
