#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction MeanStrainRate
5.50500565E+00 1.11527890061712931E-01 7.23490850940207691E-03 5.87914815919212894E-02 2.91063808958811005E-04 3.83517998338293257E-03 1.28267328376975054E+00
5.52038786E+00 1.11409839230436972E-01 7.25355048212093356E-03 5.96003391940726074E-02 2.91999000694086641E-04 3.84431001084708590E-03 1.28518429495982911E+00
5.53581575E+00 1.11291138430484313E-01 7.27199678928803356E-03 6.04191257940431339E-02 2.92931308226741945E-04 3.85327788951036207E-03 1.28768389851403531E+00
5.55124684E+00 1.11172119886772031E-01 7.29017079760439606E-03 6.12455732404068032E-02 2.93851815386811214E-04 3.86202757448281340E-03 1.29017109625652471E+00
5.56668243E+00 1.11052781539808423E-01 7.30811146945070742E-03 6.20796790028230808E-02 2.94762001951377707E-04 3.87059140070976793E-03 1.29263916639107990E+00
5.58212380E+00 1.10933121317621411E-01 7.32587161210866179E-03 6.29211937245697656E-02 2.95663631923315370E-04 3.87901566895500335E-03 1.29508872084289162E+00
5.59757223E+00 1.10813136158746758E-01 7.34349112672751624E-03 6.37700695752686092E-02 2.96554782232865376E-04 3.88733412063282371E-03 1.29752064462001049E+00
5.61302895E+00 1.10692821502496833E-01 7.36104553474492117E-03 6.46262025905663534E-02 2.97435706752153411E-04 3.89561651834509880E-03 1.29993601781487245E+00
5.62849518E+00 1.10572172572215729E-01 7.37871959345240587E-03 6.54893541871826856E-02 2.98314271852839112E-04 3.90404205278748525E-03 1.30233590304294089E+00
5.64396377E+00 1.10451247482148282E-01 7.39657589270020267E-03 6.63587849992347961E-02 2.99195155022782681E-04 3.91267329786554752E-03 1.30472110275805897E+00
5.65943413E+00 1.10330051602496079E-01 7.41460298297149344E-03 6.72341854622219154E-02 3.00072703494119590E-04 3.92149542946251296E-03 1.30709071708455826E+00
5.67490754E+00 1.10208574218349314E-01 7.43285177929722644E-03 6.81153214296798815E-02 3.00945316789450682E-04 3.93055520305776469E-03 1.30944452606734174E+00
5.69038523E+00 1.10086803311523929E-01 7.45127981386571516E-03 6.90019049219957464E-02 3.01811495908369410E-04 3.93980646433192156E-03 1.31178255768599206E+00
5.70586841E+00 1.09964726468113616E-01 7.46990394996554716E-03 6.98936368885453713E-02 3.02672161952683393E-04 3.94926238815971643E-03 1.31410501786536638E+00
5.72135820E+00 1.09842326914705080E-01 7.48874633259637244E-03 7.07902610300917001E-02 3.03524891385305903E-04 3.95894259101351158E-03 1.31641234844531718E+00
5.73685565E+00 1.09719588143916358E-01 7.50787241805410139E-03 7.16914830549738175E-02 3.04370264390105608E-04 3.96890997651220840E-03 1.31870485732394926E+00
5.75236170E+00 1.09596494831408320E-01 7.52735143014054194E-03 7.25969698698021582E-02 3.05213145659486947E-04 3.97923115888015010E-03 1.32098261905307246E+00
5.76787719E+00 1.09473031702442908E-01 7.54724138282123185E-03 7.35063676242490999E-02 3.06057812229313850E-04 3.98996201847063529E-03 1.32324528809645114E+00
5.78340287E+00 1.09349183997722615E-01 7.56745818991870402E-03 7.44193139854168462E-02 3.06899118917627770E-04 4.00101651183471484E-03 1.32549209892710751E+00
5.79893934E+00 1.09224938712162462E-01 7.58795608866438299E-03 7.53354584745304784E-02 3.07733704122810218E-04 4.01234690469115703E-03 1.32772224608405809E+00
5.81448713E+00 1.09100284487874344E-01 7.60873194067115260E-03 7.62544507846574099E-02 3.08558947320817394E-04 4.02394829988221136E-03 1.32993528200670985E+00
5.83004662E+00 1.08975211403869968E-01 7.62987832401838817E-03 7.71759239756595189E-02 3.09379179529849951E-04 4.03591191992272533E-03 1.33213119495890941E+00
5.84561812E+00 1.08849709406391437E-01 7.65142138942287876E-03 7.80994885167006214E-02 3.10198176092976871E-04 4.04826350230618349E-03 1.33431017109209971E+00
5.86120183E+00 1.08723767849217348E-01 7.67329822709656925E-03 7.90247632135421124E-02 3.11012064514997507E-04 4.06094099597867266E-03 1.33647214183828611E+00
5.87679789E+00 1.08597376060611164E-01 7.69586411757572884E-03 7.99513812750293068E-02 3.11828480867591673E-04 4.07430163633556823E-03 1.33861649547065742E+00
5.89240636E+00 1.08470520780574037E-01 7.71877669799220581E-03 8.08788971817964025E-02 3.12636265779350168E-04 4.08800631549002032E-03 1.34074221781528569E+00
5.90802727E+00 1.08343192519959594E-01 7.74193515448092558E-03 8.18070075366238159E-02 3.13435485183175249E-04 4.10195748104542554E-03 1.34284831205530586E+00
5.92366026E+00 1.08215387744919692E-01 7.76535205044333321E-03 8.27353166941911522E-02 3.14226671311738806E-04 4.11617104432292300E-03 1.34493422374364457E+00
5.93930497E+00 1.08087105112969470E-01 7.78899977711399859E-03 8.36634167501749543E-02 3.15008845720180766E-04 4.13062288610886817E-03 1.34699987583075487E+00
5.95496133E+00 1.07958342095836823E-01 7.81295553667455539E-03 8.45909419233053100E-02 3.15790134712414872E-04 4.14539386201738785E-03 1.34904550275514157E+00
5.97062526E+00 1.07829127756107090E-01 7.83713718757859772E-03 8.55173010544844903E-02 3.16564639288613827E-04 4.16040864051295516E-03 1.35107135796287858E+00
5.98629638E+00 1.07699461731350796E-01 7.86149952715547128E-03 8.64421422601485273E-02 3.17327265101596172E-04 4.17562702571079841E-03 1.35307686711515873E+00
6.00197456E+00 1.07569342478263497E-01 7.88611150948107659E-03 8.73651160069635890E-02 3.18083628715846729E-04 4.19112309520273951E-03 1.35506163825709702E+00
6.01765966E+00 1.07438768108442328E-01 7.91085031765723957E-03 8.82858723954633023E-02 3.18829518409566434E-04 4.20677967559834193E-03 1.35702519599728677E+00
6.03335149E+00 1.07307738736711872E-01 7.93554774287951771E-03 8.92040896335117156E-02 3.19554182795147614E-04 4.22243426314284059E-03 1.35896719478932604E+00
6.04904988E+00 1.07176257236707664E-01 7.96026339818692828E-03 9.01194447456112741E-02 3.20262880521238961E-04 4.23815176650558893E-03 1.36088764561176867E+00
6.06475467E+00 1.07044326177642868E-01 7.98510330121059327E-03 9.10316152811583429E-02 3.20967092704205605E-04 4.25404382267453862E-03 1.36278691880975344E+00
6.08046571E+00 1.06911946439864985E-01 8.01020306874210622E-03 9.19402856958668607E-02 3.21676713129112363E-04 4.27025214716322387E-03 1.36466544525484346E+00
6.09618287E+00 1.06779116897190621E-01 8.03545842743880016E-03 9.28451618082979241E-02 3.22387820313899804E-04 4.28667917788070393E-03 1.36652350942330436E+00
6.11190609E+00 1.06645836396431201E-01 8.06070473947348952E-03 9.37459726913185271E-02 3.23087818289132152E-04 4.30316680949538975E-03 1.36836122264769955E+00
6.12763530E+00 1.06512105730183521E-01 8.08592915487920359E-03 9.46424459101999904E-02 3.23777827340332284E-04 4.31970775665527738E-03 1.37017867917869385E+00
6.14337051E+00 1.06377925461806855E-01 8.11114666786474578E-03 9.55343267796322781E-02 3.24462195943015365E-04 4.33632224565042371E-03 1.37197611854003965E+00
6.15911171E+00 1.06243294757435783E-01 8.13638749488693191E-03 9.64213428437601383E-02 3.25145339312251736E-04 4.35304541656799521E-03 1.37375382968178039E+00
6.17485896E+00 1.06108211470816241E-01 8.16157055034317895E-03 9.73032338643713274E-02 3.25823711292862542E-04 4.36980108338495647E-03 1.37551213878162448E+00
6.19061230E+00 1.05972673695610045E-01 8.18665024626127023E-03 9.81797572438671412E-02 3.26502145114925283E-04 4.38654819894396773E-03 1.37725153042397142E+00
6.20637178E+00 1.05836678467222514E-01 8.21160429067342018E-03 9.90506870235409592E-02 3.27186394003954931E-04 4.40326877206252947E-03 1.37897276060530682E+00
6.22213744E+00 1.05700221528106722E-01 8.23649513203435039E-03 9.99158092251261620E-02 3.27882527367986834E-04 4.42002924305126728E-03 1.38067668690414558E+00
6.23790930E+00 1.05563297373741302E-01 8.26130236369335136E-03 1.00774909326380682E-01 3.28586751164915386E-04 4.43681294258814040E-03 1.38236409336674559E+00
6.25368734E+00 1.05425901722117160E-01 8.28596573604357782E-03 1.01627773064569993E-01 3.29299994182285507E-04 4.45356265937591530E-03 1.38403574602079504E+00
6.26947148E+00 1.05288032529526412E-01 8.31026708034341734E-03 1.02474177652300866E-01 3.30008515443838506E-04 4.47006234077442031E-03 1.38569237979447979E+00
6.28526161E+00 1.05149693085491214E-01 8.33413887319780534E-03 1.03313898520772829E-01 3.30705724418829488E-04 4.48624459477031494E-03 1.38733426271967764E+00
6.30105753E+00 1.05010889891131151E-01 8.35775125980064461E-03 1.04146744328412436E-01 3.31398050468548503E-04 4.50227843962954823E-03 1.38896160952077041E+00
6.31685896E+00 1.04871626852601027E-01 8.38131916026577800E-03 1.04972573918885079E-01 3.32102561120803657E-04 4.51837843597133540E-03 1.39057476329599838E+00
6.33266557E+00 1.04731900976809969E-01 8.40480144101517050E-03 1.05791255310777474E-01 3.32817532422964016E-04 4.53450495609298773E-03 1.39217414200850276E+00
